Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCN07,OUT017,2041.7758
FDM51,OUT019,245.68727
FDT52,OUT027,6029.869
FDL26,OUT046,2500.1663
NCZ42,OUT046,3898.376
DRI47,OUT019,303.30664
FDW40,OUT013,2079.1746
FDN34,OUT046,2851.152
FDS01,OUT035,2952.2058
NCG55,OUT045,1952.6176
FDC11,OUT035,1451.8528
FDX35,OUT018,3346.6453
NCB06,OUT046,2648.5334
FDR09,OUT019,573.2527
FDC53,OUT017,1564.4653
FDY45,OUT013,3989.3442
FDA22,OUT010,376.20102
FDE02,OUT035,1564.4653
FDW21,OUT045,1608.7684
FDV34,OUT046,1085.9327
FDS59,OUT049,1620.1483
NCW17,OUT017,2041.7758
NCK54,OUT046,1998.4764
FDG17,OUT019,548.404
FDG35,OUT017,2935.6653
FDD08,OUT010,109.83359
NCO07,OUT017,3741.299
FDJ10,OUT010,261.41443
FDW36,OUT017,1611.5001
FDW21,OUT010,186.51892
FDY19,OUT017,1953.2646
DRE03,OUT013,743.933
NCC55,OUT049,665.6718
FDH52,OUT010,171.94183
FDO09,OUT017,4142.6484
FDU43,OUT045,3910.7039
FDX09,OUT010,433.34766
FDH40,OUT019,222.57988
FDW58,OUT017,1611.5001
FDC47,OUT017,3877.6152
NCR41,OUT035,1562.575
DRG49,OUT035,3948.2683
FDC52,OUT027,3874.21
FDY13,OUT046,1114.4235
FDY35,OUT013,682.9784
FDI35,OUT017,3023.1833
NCU18,OUT049,2100.6143
FDY33,OUT018,2437.4263
FDC15,OUT027,4478.7354
FDU01,OUT049,3082.5935
NCU42,OUT046,2851.152
NCV29,OUT018,2729.95
NCY30,OUT017,3089.296
FDQ46,OUT049,1847.7241
FDG58,OUT027,4687.013
FDK33,OUT017,3724.7383
NCD07,OUT045,1952.6176
NCX29,OUT027,4078.101
NCT42,OUT013,2458.0464
DRN59,OUT035,744.9856
FDI44,OUT035,1286.6583
FDA45,OUT049,2955.5837
FDP31,OUT045,1018.7567
FDY01,OUT046,1998.4764
FDT09,OUT018,1905.485
DRH03,OUT027,2732.2476
FDA36,OUT018,2842.3994
NCF31,OUT017,2503.7983
FDG14,OUT049,2460.824
FDG28,OUT027,6029.869
FDU14,OUT049,3972.5232
FDY47,OUT019,299.52344
FDI56,OUT049,1467.1261
DRD01,OUT013,828.481
FDM22,OUT046,841.66876
FDH33,OUT013,680.55286
DRZ24,OUT013,2009.7655
NCQ38,OUT046,1620.1483
FDO16,OUT027,2317.5364
FDU07,OUT027,4063.013
NCB07,OUT013,3089.1921
FDU48,OUT045,2041.1287
NCM43,OUT045,2648.6301
FDR31,OUT010,332.05707
DRK49,OUT018,596.2103
NCI30,OUT010,528.51953
DRD60,OUT017,3005.8157
NCG19,OUT046,3845.0195
FDH12,OUT035,1611.5001
FDM32,OUT035,1516.9197
FDM27,OUT035,2522.8972
NCU53,OUT027,4542.0356
NCQ18,OUT046,1586.7207
FDS10,OUT013,3000.713
FDB33,OUT027,4478.7354
FDI12,OUT013,1356.8043
NCW42,OUT013,3777.9019
NCC06,OUT018,1905.485
FDW02,OUT017,2041.7758
NCD43,OUT017,1611.5001
FDM57,OUT018,1258.0012
FDA58,OUT017,3925.0808
FDK56,OUT046,3072.1543
FDP52,OUT045,3857.3474
FDW20,OUT018,1905.485
FDS52,OUT049,1600.4077
NCT29,OUT018,1905.485
NCL54,OUT013,2945.565
FDC05,OUT045,3041.2183
FDF34,OUT035,3065.598
FDP03,OUT027,3163.2087
FDD32,OUT010,185.42094
FDZ10,OUT045,2041.1287
FDZ40,OUT035,841.4288
FDD51,OUT018,597.56555
NCY30,OUT019,415.64307
FDP58,OUT017,3724.7383
FDV49,OUT017,4142.6484
FDY24,OUT019,128.13078
NCO55,OUT017,1611.5001
FDR13,OUT017,1953.2646
FDS51,OUT017,964.44293
FDP26,OUT045,1610.8531
NCB54,OUT027,3169.517
FDF32,OUT017,3076.6504
FDN31,OUT018,2851.5693
DRM48,OUT017,658.331
FDN20,OUT049,2854.2087
DRL01,OUT046,3845.0195
FDV56,OUT049,1620.1483
DRH13,OUT027,2878.79
FDA03,OUT017,2464.1775
FDF47,OUT027,5664.716
FDX32,OUT046,2468.1284
FDX57,OUT049,1562.1155
NCA30,OUT045,3055.543
FDO49,OUT013,743.933
FDL04,OUT019,236.07144
DRM48,OUT035,664.13885
FDR16,OUT013,3682.012
NCC19,OUT018,2851.5693
NCE42,OUT045,3857.3474
FDY24,OUT017,836.8612
FDH19,OUT049,2940.701
FDJ46,OUT013,2945.565
FDN45,OUT010,746.807
FDY08,OUT035,2041.7758
FDZ37,OUT035,1451.8528
NCT30,OUT045,744.33875
DRY23,OUT018,597.56555
NCZ30,OUT018,1905.485
FDC44,OUT018,1827.3032
FDB45,OUT035,1611.5001
FDY04,OUT013,2641.5898
FDM27,OUT046,2627.7085
FDZ43,OUT017,3940.2358
FDT39,OUT019,334.0746
NCC06,OUT019,307.06696
FDL15,OUT027,4687.013
FDL57,OUT017,4068.1746
FDU08,OUT046,1571.1377
FDK40,OUT017,4142.6484
FDQ12,OUT010,539.1576
FDS48,OUT017,2464.1775
FDP09,OUT045,3678.181
FDW21,OUT049,1586.7207
FDY25,OUT035,2991.042
DRE13,OUT017,1359.8425
FDV43,OUT019,86.43014
FDD22,OUT045,1819.0167
FDM46,OUT019,246.95808
NCO30,OUT010,461.58118
FDM25,OUT046,2930.856
NCN41,OUT049,2093.7268
FDU24,OUT045,1516.2727
FDZ50,OUT046,3072.1543
FDP45,OUT013,3980.0898
NCM54,OUT045,2041.1287
FDW10,OUT019,444.87463
FDP20,OUT017,2041.7758
FDK32,OUT046,2468.1284
FDN52,OUT049,1436.9056
FDM58,OUT045,1807.0903
FDZ46,OUT027,3083.6787
NCA18,OUT018,1833.1677
FDD35,OUT046,2090.0125
NCK31,OUT035,744.9856
FDI40,OUT027,2781.3586
FDT50,OUT019,250.99007
NCT06,OUT046,2648.5334
FDT31,OUT035,3068.219
FDT45,OUT049,787.0099
FDT13,OUT045,3055.543
FDO50,OUT045,1479.9359
NCU18,OUT010,258.07587
NCR54,OUT049,3079.9724
NCO18,OUT018,2729.95
FDU09,OUT045,850.4881
FDT13,OUT018,2842.3994
FDE09,OUT046,1847.7241
NCK53,OUT019,247.80855
FDG45,OUT049,3672.3196
DRH15,OUT035,744.9856
FDO21,OUT019,563.474
FDD14,OUT027,5404.7124
FDC09,OUT046,1620.1483
FDH45,OUT027,1111.1858
FDV32,OUT046,1017.05237
FDG12,OUT035,1979.2543
FDS32,OUT013,2072.287
NCL55,OUT018,3398.2048
DRE01,OUT035,3948.2683
DRE15,OUT049,1263.609
NCL42,OUT045,3910.7039
FDP31,OUT013,983.6269
FDN33,OUT018,1427.935
FDZ59,OUT046,2648.5334
FDE45,OUT010,370.8649
FDJ07,OUT013,2009.7655
FDQ45,OUT018,2846.0964
FDM33,OUT027,5478.274
FDO15,OUT010,172.51678
FDM46,OUT013,1518.4131
FDR03,OUT045,3491.139
FDY49,OUT018,2570.666
FDQ60,OUT045,1978.6073
FDW10,OUT049,2940.701
FDO51,OUT049,682.07043
FDJ40,OUT018,1523.6656
FDS20,OUT018,2773.9165
FDU45,OUT013,1835.624
FDV02,OUT035,2859.6067
FDN09,OUT046,3898.376
NCM55,OUT027,5403.9614
FDN23,OUT018,2267.4172
FDY31,OUT010,402.8394
FDW03,OUT010,308.0139
FDD14,OUT046,3078.4817
FDV23,OUT017,2041.7758
DRI03,OUT045,2924.647
FDN13,OUT035,1578.0723
FDF45,OUT027,1685.2823
FDU46,OUT035,1451.8528
FDB57,OUT049,3780.504
FDV12,OUT049,1586.7207
FDQ58,OUT013,2458.0464
NCA18,OUT017,1953.2646
FDH52,OUT049,940.35986
FDM24,OUT018,2267.4172
NCP43,OUT027,4716.863
NCO18,OUT019,444.87463
FDM32,OUT017,1480.5829
NCL07,OUT017,660.6535
FDK03,OUT013,3980.0898
FDP59,OUT017,1611.5001
FDQ24,OUT049,3972.5232
FDQ16,OUT018,1523.6656
FDU44,OUT013,2641.5898
FDH28,OUT010,109.46112
FDV28,OUT019,87.825615
FDM22,OUT045,793.4373
FDR56,OUT046,3065.8362
FDV39,OUT049,3079.9724
FDU37,OUT019,219.88054
FDQ11,OUT010,616.9442
FDX02,OUT045,3786.3652
NCS42,OUT018,1427.935
FDY57,OUT027,2732.2476
FDB21,OUT049,3908.325
FDE28,OUT017,3886.8794
FDQ55,OUT017,1947.4001
FDA48,OUT049,3780.504
FDZ19,OUT045,2924.647
NCC43,OUT045,3972.5232
NCV18,OUT046,1309.0095
NCA42,OUT018,2437.4263
FDY45,OUT046,3971.8286
NCC30,OUT045,2970.594
FDM57,OUT013,1348.739
FDL09,OUT010,383.90585
FDB09,OUT027,3163.2087
FDT44,OUT035,1979.2543
NCT06,OUT027,4492.444
FDX26,OUT049,3092.618
FDK32,OUT013,2500.1433
DRA12,OUT046,2124.2646
FDO46,OUT010,450.26978
FDE52,OUT013,1440.7489
NCH42,OUT045,3857.3474
FDV08,OUT035,684.0311
FDB47,OUT018,3288.7395
FDC28,OUT010,245.06665
FDD22,OUT046,1987.0226
FDS07,OUT027,2985.222
DRI13,OUT045,3678.181
FDG32,OUT018,3296.7551
FDU14,OUT017,4007.9514
FDD28,OUT019,169.69356
NCP41,OUT017,1611.5001
FDS08,OUT049,2940.701
FDX47,OUT045,2622.8792
FDC53,OUT019,247.80855
FDQ19,OUT035,3948.2683
FDL14,OUT045,2500.1663
FDM33,OUT019,562.88684
FDA51,OUT045,1946.7532
FDZ27,OUT018,683.7704
FDT04,OUT046,678.95667
DRC13,OUT049,2093.7268
FDR16,OUT027,5497.983
FDQ03,OUT027,6102.745
FDE38,OUT035,2837.8027
DRH23,OUT027,1670.09
FDT11,OUT019,504.5545
FDD09,OUT035,2991.042
FDR40,OUT045,1321.009
FDX07,OUT017,3089.296
FDR07,OUT035,1566.4995
FDA51,OUT017,1947.4001
FDT59,OUT019,561.2314
FDF20,OUT017,3076.6504
FDR13,OUT045,1952.6176
FDY26,OUT049,3694.6746
FDW04,OUT017,2041.7758
FDK52,OUT017,3877.6152
FDN60,OUT049,2618.5347
FDM09,OUT019,474.33615
FDP46,OUT049,1436.9056
FDB50,OUT019,223.07408
NCQ29,OUT049,4099.3213
FDP16,OUT027,6029.869
FDX33,OUT018,2456.0083
FDP07,OUT010,462.38205
FDN22,OUT046,3962.5742
FDF39,OUT049,4119.6875
FDS21,OUT017,964.44293
NCM42,OUT013,1612.9935
FDK50,OUT019,477.98953
DRF13,OUT027,4063.013
FDH35,OUT018,2474.923
FDP60,OUT018,1490.2378
DRJ49,OUT027,3169.517
NCT42,OUT019,352.03174
FDE38,OUT049,2832.4048
FDI04,OUT049,3068.2688
NCH54,OUT045,2627.8052
FDT56,OUT049,879.9286
DRD15,OUT018,3346.6453
FDV58,OUT013,3089.1921
FDP21,OUT049,3082.5935
FDH05,OUT013,3853.1567
FDR10,OUT027,4454.993
NCP06,OUT045,2461.5864
FDF33,OUT049,1620.1483
DRK37,OUT013,3091.8132
DRH49,OUT045,1332.5079
FDT58,OUT013,2837.4697
FDD41,OUT018,1523.6656
FDP40,OUT018,1730.1334
FDM51,OUT027,2775.2231
FDO45,OUT010,171.65456
FDW33,OUT010,308.0139
FDY24,OUT045,840.7818
FDB10,OUT010,531.06335
FDM40,OUT035,2048.663
NCI06,OUT017,3005.8157
FDW12,OUT019,336.45734
FDX48,OUT027,4338.9556
NCW05,OUT027,2878.79
FDX27,OUT017,1564.4653
DRM37,OUT045,3041.2183
FDA38,OUT045,3910.7039
FDR36,OUT046,665.4714
FDZ45,OUT046,3070.3562
FDG05,OUT017,2626.7183
FDK28,OUT013,4106.8877
FDV47,OUT045,1369.8042
FDN21,OUT045,2648.6301
FDP20,OUT027,3192.0872
FDI35,OUT045,2995.7336
DRY23,OUT013,680.55286
FDA56,OUT017,2041.7758
FDB09,OUT013,2072.287
NCO26,OUT027,2980.306
FDQ49,OUT018,2351.7886
FDI52,OUT027,3152.3098
FDZ44,OUT027,2980.306
FDZ09,OUT018,2474.923
FDY03,OUT049,1868.3976
NCG42,OUT017,2041.7758
DRI13,OUT027,5478.274
FDQ32,OUT013,2072.287
FDW16,OUT035,1480.5829
FDU27,OUT046,741.26624
FDR28,OUT010,400.78537
FDQ49,OUT010,412.071
FDS37,OUT046,1998.4764
FDW26,OUT018,3285.1296
FDX12,OUT018,3391.8577
NCP06,OUT013,2458.0464
FDW45,OUT010,402.8394
NCN30,OUT049,1560.2251
FDN24,OUT049,787.0099
NCL41,OUT027,1062.922
FDR02,OUT019,300.0513
FDD09,OUT010,475.20828
FDS33,OUT010,175.56726
FDU22,OUT045,2035.012
FDI53,OUT013,2641.5898
DRH01,OUT049,2940.701
FDX32,OUT013,2109.5894
NCP30,OUT018,582.725
FDB60,OUT045,3052.9219
FDB14,OUT049,1514.5698
NCP02,OUT035,851.1351
FDJ10,OUT017,2041.7758
FDG34,OUT046,1833.2039
NCB18,OUT017,1451.8528
FDM16,OUT049,1053.6796
FDW25,OUT018,1260.1168
FDB35,OUT010,185.2739
DRN11,OUT013,2109.5894
FDF41,OUT019,557.91364
FDH16,OUT045,1451.2058
NCQ50,OUT018,3266.3845
DRH23,OUT018,797.5902
DRJ37,OUT013,2473.7424
DRJ24,OUT027,5398.3003
FDY16,OUT035,3078.2434
FDQ27,OUT045,1610.8531
FDZ33,OUT045,2461.5864
FDF29,OUT045,2041.1287
FDA08,OUT049,2644.2856
FDG31,OUT046,1017.05237
FDE34,OUT019,486.43433
NCR30,OUT027,1849.7115
FDV33,OUT035,4078.486
DRZ24,OUT018,1905.485
NCL54,OUT035,2937.323
FDR12,OUT049,2940.701
NCC54,OUT046,3898.376
DRN59,OUT013,743.933
FDX50,OUT019,308.15793
FDV31,OUT027,4870.237
NCA29,OUT027,4702.7075
FDW60,OUT049,2955.5837
FDX08,OUT017,3076.2021
DRD49,OUT013,3853.1567
FDD33,OUT046,3845.0195
FDW35,OUT013,680.55286
FDJ36,OUT017,1611.5001
FDV51,OUT035,2794.588
FDW36,OUT046,1620.1483
FDH35,OUT046,2648.5334
NCS30,OUT027,3152.1755
FDN49,OUT017,664.1479
FDL08,OUT018,3391.8577
FDI09,OUT013,3909.9956
FDP19,OUT018,1905.485
FDU21,OUT010,108.66156
NCP41,OUT045,1610.8531
FDY10,OUT013,1856.2975
FDP12,OUT018,575.35046
NCN26,OUT049,2002.1907
FDK44,OUT013,2945.565
FDC28,OUT049,1620.1483
FDJ41,OUT027,5992.9243
NCT29,OUT035,2041.7758
NCH42,OUT019,559.85614
FDU60,OUT018,2606.9346
FDS02,OUT045,3055.543
FDC51,OUT046,2090.0125
FDU03,OUT013,3101.8376
FDX39,OUT045,3694.7417
NCY05,OUT010,107.107285
NCL06,OUT027,6014.562
FDD32,OUT035,1286.6583
NCN41,OUT045,2041.1287
NCX53,OUT049,2100.6143
FDU57,OUT019,346.92358
FDQ23,OUT046,1620.1483
FDQ52,OUT045,3960.7837
FDC14,OUT045,679.18787
FDY09,OUT035,2952.2058
FDQ28,OUT045,2511.2483
FDV25,OUT046,3744.0535
FDJ07,OUT035,1953.2646
DRB25,OUT049,1620.1483
FDK52,OUT019,562.97156
FDY52,OUT027,1737.9922
FDB28,OUT046,3065.8362
FDT36,OUT035,664.13885
FDV25,OUT017,3815.8972
NCN07,OUT027,3169.517
FDC57,OUT017,3079.2715
FDQ03,OUT018,3362.9802
FDU23,OUT017,2829.5576
NCX41,OUT035,3722.9185
NCD06,OUT035,744.9856
FDW08,OUT045,1610.8531
NCU29,OUT017,2464.1775
NCE06,OUT013,2641.5898
FDV52,OUT010,256.86737
FDB02,OUT017,2935.6653
NCR18,OUT045,683.38416
FDK16,OUT049,1560.2251
NCQ29,OUT010,580.17596
FDZ01,OUT019,235.52676
FDW27,OUT035,2634.528
FDD17,OUT018,3362.9802
FDW39,OUT013,2945.565
DRH59,OUT045,1087.6372
FDS52,OUT013,1612.9935
FDU40,OUT027,5514.332
NCF54,OUT013,2945.565
FDH46,OUT045,1610.8531
NCP14,OUT049,1620.1483
FDH50,OUT049,3086.2905
DRF15,OUT010,412.74112
FDV27,OUT027,2603.5317
NCJ06,OUT049,2093.7268
FDN02,OUT018,3196.0764
FDQ51,OUT049,743.0248
FDQ07,OUT017,3815.8972
FDS45,OUT049,1620.1483
NCJ06,OUT045,2041.1287
FDD36,OUT035,1953.2646
FDY25,OUT045,3052.4736
FDU52,OUT046,2500.1663
DRK47,OUT017,3877.6152
NCL30,OUT017,2041.7758
FDN22,OUT035,4010.0876
NCF30,OUT027,3192.0872
FDK03,OUT035,4019.342
FDT45,OUT017,836.8612
NCC54,OUT027,6029.869
FDP08,OUT018,2812.4043
FDU44,OUT046,2648.5334
DRG39,OUT035,794.0843
FDU32,OUT049,2093.7268
FDY27,OUT049,2955.5837
NCP54,OUT013,2072.287
NCZ41,OUT049,2093.7268
DRL49,OUT013,2469.1882
FDI05,OUT018,1190.416
FDY56,OUT045,3848.0833
DRC13,OUT013,2072.287
NCV29,OUT017,3005.8157
FDR24,OUT049,1467.1261
FDZ34,OUT018,2851.5693
FDP37,OUT035,2041.7758
FDX08,OUT027,4716.863
FDS57,OUT045,2048.016
NCG18,OUT049,1620.1483
FDK25,OUT018,2621.9822
FDH53,OUT049,1263.609
DRI59,OUT018,3296.7551
FDA52,OUT046,2945.7388
FDT20,OUT010,109.46112
FDE36,OUT019,478.52908
FDI24,OUT017,2935.6653
FDB28,OUT018,3068.6973
FDV11,OUT017,2950.548
FDP01,OUT046,2500.1663
FDD34,OUT027,4454.993
FDJ50,OUT027,1350.3965
FDZ44,OUT013,2009.7655
DRO59,OUT035,1126.1917
DRB48,OUT045,668.5441
FDR21,OUT018,2729.95
NCE42,OUT010,531.06335
FDO23,OUT046,1514.5698
NCE30,OUT018,3266.3845
FDQ22,OUT035,664.13885
FDY01,OUT045,1952.6176
FDS08,OUT017,2950.548
FDG28,OUT018,3391.8577
FDQ51,OUT018,683.7704
FDB05,OUT017,3990.3154
FDO56,OUT049,2002.1907
FDE02,OUT018,1427.935
FDN45,OUT017,3815.8972
FDS09,OUT013,743.933
NCA54,OUT018,2754.4377
FDP09,OUT010,609.60803
FDC53,OUT045,1577.4253
NCM55,OUT017,3079.2715
FDL09,OUT018,2621.9822
FDA11,OUT019,251.1227
FDA50,OUT045,1561.928
FDC23,OUT017,2994.8765
FDE22,OUT049,2623.4607
FDD23,OUT046,3068.4573
NCA29,OUT049,2940.701
FDK38,OUT046,2468.1284
DRC13,OUT046,2090.0125
NCP43,OUT049,2986.648
FDX28,OUT049,1593.6799
FDF08,OUT049,1467.1261
FDZ33,OUT046,2468.1284
FDD10,OUT049,2955.5837
FDO58,OUT017,2645.3003
FDI50,OUT017,3886.8794
FDO58,OUT045,2657.8787
FDX08,OUT013,3011.652
NCK17,OUT010,107.42139
FDF39,OUT035,4161.881
FDU45,OUT010,245.06665
NCJ18,OUT018,1838.3817
DRC27,OUT019,547.24725
DRC25,OUT035,1362.3856
FDU59,OUT035,2661.3062
FDU28,OUT035,3068.219
NCP30,OUT046,676.1156
FDB39,OUT018,792.5067
FDE41,OUT013,1356.8043
DRH11,OUT010,154.48965
FDA58,OUT045,3857.3474
FDU50,OUT046,1998.4764
FDM34,OUT013,2072.287
FDM44,OUT027,2775.2231
FDR39,OUT045,3059.24
FDM25,OUT045,2924.647
FDQ49,OUT049,2504.9734
DRH25,OUT018,735.23035
FDM09,OUT027,4526.071
FDL44,OUT019,347.90515
NCR42,OUT018,575.35046
DRL59,OUT046,790.3648
FDX43,OUT013,2859.2737
DRK47,OUT010,544.8452
FDU48,OUT018,1905.485
FDY12,OUT045,744.33875
NCN43,OUT018,1905.485
NCM55,OUT018,2846.0964
FDQ21,OUT027,3152.3098
FDX13,OUT035,4010.0876
NCK30,OUT027,6023.599
FDG20,OUT049,2940.701
DRG27,OUT017,665.70575
FDY14,OUT018,3513.1995
FDP59,OUT035,1611.5001
FDU60,OUT017,2851.3616
NCC18,OUT019,450.66766
DRJ39,OUT017,3785.9133
FDS07,OUT049,1990.7368
FDM08,OUT027,5628.843
FDP51,OUT045,2041.1287
FDU16,OUT035,1321.656
FDH12,OUT013,1612.9935
DRE48,OUT010,489.44083
NCL42,OUT027,6029.869
FDR21,OUT045,2939.5298
NCW29,OUT035,2041.7758
FDO11,OUT013,3980.0898
NCM31,OUT049,2100.6143
FDV35,OUT019,337.21997
FDF58,OUT017,964.44293
NCE43,OUT049,2854.2087
FDA02,OUT035,2480.0837
DRL37,OUT010,107.93297
FDR24,OUT018,1390.6802
FDW59,OUT049,1306.096
FDS22,OUT049,743.0248
FDW24,OUT017,743.9259
FDU24,OUT035,1562.575
FDA21,OUT027,5392.659
FDH58,OUT027,2980.306
FDW36,OUT018,1523.6656
FDI45,OUT027,4702.7075
FDU01,OUT018,2846.0964
FDF35,OUT027,3002.3591
FDU43,OUT019,554.0639
FDE24,OUT019,289.9215
FDK50,OUT049,2644.2856
